ts,equity,cash,at_risk,realized_cum,wins,losses,n_open
2026-08-01T17:14:18.470943+00:00,232.01,196.94,35.07,-17.99,21,18,10
2026-08-01T18:13:24.963075+00:00,235.15,186.34,48.81,-14.85,22,18,12
2026-08-01T19:36:42.772832+00:00,236.04,200.33,35.71,-13.96,23,19,10
2026-08-01T20:31:27.424569+00:00,236.04,200.33,35.71,-13.96,23,19,10
2026-08-01T21:29:00.603270+00:00,228.32,194.12,34.2,-21.68,23,21,10
2026-08-01T22:30:05.921458+00:00,223.7,184.87,38.83,-26.3,23,23,10
2026-08-01T23:32:22.923686+00:00,216.66,184.87,31.79,-33.34,23,25,8
2026-08-02T01:10:06.871573+00:00,216.66,175.74,40.92,-33.34,23,25,10
2026-08-02T04:37:20.718571+00:00,216.66,172.03,44.63,-33.34,23,25,11
2026-08-02T07:16:21.977467+00:00,213.7,158.85,54.85,-36.3,23,26,14
2026-08-02T09:25:00.571305+00:00,213.7,158.85,54.85,-36.3,23,26,14
2026-08-02T10:58:30.837083+00:00,213.7,158.85,54.85,-36.3,23,26,14
2026-08-02T12:09:47.308032+00:00,213.7,150.63,63.07,-36.3,23,26,16
2026-08-02T13:53:36.599255+00:00,213.7,145.33,68.37,-36.3,23,26,17
2026-08-02T14:58:19.309349+00:00,213.7,141.2,72.5,-36.3,23,26,18
2026-08-02T16:07:36.456038+00:00,213.7,136.13,77.57,-36.3,23,26,19
2026-08-02T17:12:54.234754+00:00,213.7,136.13,77.57,-36.3,23,26,19
2026-08-02T18:12:57.302617+00:00,213.7,136.13,77.57,-36.3,23,26,19
2026-08-02T19:36:18.574759+00:00,213.7,136.13,77.57,-36.3,23,26,19
2026-08-02T20:32:38.289150+00:00,216.52,142.66,73.86,-33.48,24,26,18
2026-08-02T21:29:51.370257+00:00,216.52,142.66,73.86,-33.48,24,26,18
2026-08-02T22:30:55.035279+00:00,211.03,142.66,68.37,-38.97,24,27,17
2026-08-02T23:32:40.365773+00:00,211.03,142.66,68.37,-38.97,24,27,17
2026-08-03T01:11:05.115528+00:00,211.03,142.66,68.37,-38.97,24,27,17
2026-08-03T04:47:19.187828+00:00,211.03,130.19,80.84,-38.97,24,27,20
2026-08-03T08:15:38.993310+00:00,211.03,127.21,83.82,-38.97,24,27,21
2026-08-03T11:48:49.985437+00:00,211.03,124.14,86.89,-38.97,24,27,22
2026-08-03T14:06:02.926061+00:00,211.03,121.59,89.44,-38.97,24,27,23
2026-08-03T16:38:30.526861+00:00,211.03,121.59,89.44,-38.97,24,27,23
2026-08-03T18:25:30.638872+00:00,205.05,128.94,76.11,-44.95,25,29,20
2026-08-03T20:11:17.294326+00:00,208.07,133.98,74.09,-41.93,26,29,20
2026-08-03T21:30:42.340486+00:00,211.7,140.26,71.44,-38.3,27,29,20
2026-08-03T22:35:20.333431+00:00,218.57,150.93,67.64,-31.43,29,29,19
2026-08-03T23:43:39.905834+00:00,222.58,155.22,67.36,-27.42,30,29,19
2026-08-04T01:08:33.665315+00:00,228.57,180.73,47.84,-21.43,34,32,13
2026-08-04T04:29:34.264250+00:00,237.77,200.31,37.46,-12.23,38,33,9
2026-08-04T07:17:40.936243+00:00,237.77,188.32,49.45,-12.23,38,33,11
2026-08-04T10:03:43.147632+00:00,237.77,188.32,49.45,-12.23,38,33,11
2026-08-04T12:13:02.839098+00:00,237.77,188.32,49.45,-12.23,38,33,11
2026-08-04T14:41:15.456760+00:00,237.77,183.86,53.91,-12.23,38,33,12
2026-08-04T16:31:45.448926+00:00,237.77,178.91,58.86,-12.23,38,33,13
2026-08-04T18:14:27.139791+00:00,237.77,176.58,61.19,-12.23,38,33,14
2026-08-04T20:00:05.128610+00:00,237.77,169.37,68.4,-12.23,38,33,16
2026-08-04T21:21:30.429776+00:00,237.77,153.63,84.14,-12.23,38,33,19
2026-08-04T22:33:28.614273+00:00,237.77,140.52,97.25,-12.23,38,33,20
2026-08-04T23:37:48.471908+00:00,237.77,134.65,103.12,-12.23,38,33,21
2026-08-05T01:03:16.450334+00:00,237.77,134.65,103.12,-12.23,38,33,21
2026-08-05T04:22:49.350872+00:00,237.77,134.65,103.12,-12.23,38,33,21
2026-08-05T07:09:55.110169+00:00,237.77,134.65,103.12,-12.23,38,33,21
2026-08-05T09:48:52.148993+00:00,237.77,127.93,109.84,-12.23,38,33,23
2026-08-05T11:48:07.650705+00:00,237.77,125.7,112.07,-12.23,38,33,24
2026-08-05T13:26:53.580418+00:00,237.77,125.7,112.07,-12.23,38,33,24
2026-08-05T15:40:25.163015+00:00,237.77,125.7,112.07,-12.23,38,33,24
2026-08-05T17:10:01.767655+00:00,237.77,113.32,124.45,-12.23,38,33,25
2026-08-05T18:51:34.178968+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-05T20:20:49.742619+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-05T21:39:40.351148+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-05T22:42:16.854162+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-05T23:40:10.387618+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T01:05:46.923660+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T04:27:11.038948+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T07:17:40.390143+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T10:03:27.057814+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T12:13:28.213481+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T14:37:15.742627+00:00,237.77,95.11,142.66,-12.23,38,33,28
2026-08-06T22:20:15.144211+00:00,237.77,95.11,142.66,-12.23,38,33,26
2026-08-06T22:21:16.867182+00:00,237.77,95.11,142.66,-12.23,38,33,26
2026-08-06T23:03:14.233268+00:00,237.77,95.11,142.66,-12.23,38,33,26
2026-08-07T00:15:34.726032+00:00,237.77,95.11,142.66,-12.23,38,33,26
2026-08-07T02:13:01.762305+00:00,237.77,95.11,142.66,-12.23,38,33,26
2026-08-07T02:17:11.864545+00:00,237.77,95.11,142.66,-12.23,38,33,26
2026-08-07T02:48:48.750525+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T04:36:34.842327+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T06:10:53.344268+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T07:52:46.711094+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T09:03:47.389673+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T10:27:18.881836+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T11:25:06.424705+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T12:10:41.359340+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T13:50:57.600169+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T14:56:41.087294+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T16:01:42.456153+00:00,230.08,211.65,18.43,-19.92,50,45,3
2026-08-07T17:24:34.175800+00:00,220.79,207.28,13.51,-29.21,50,46,4
2026-08-07T18:22:53.095740+00:00,220.79,203.65,17.14,-29.21,50,46,5
2026-08-07T19:31:08.581124+00:00,220.79,194.68,26.11,-29.21,50,46,6
2026-08-07T20:45:27.951010+00:00,215.9,191.48,24.42,-34.1,50,47,6
2026-08-07T21:42:18.092539+00:00,215.9,191.48,24.42,-34.1,50,47,6
2026-08-07T22:40:32.431942+00:00,219.87,198.65,21.22,-30.13,51,47,5
2026-08-07T23:37:00.304132+00:00,219.87,194.9,24.97,-30.13,51,47,6
2026-08-08T01:53:00.223401+00:00,225.77,203.0,22.77,-24.23,53,47,5
2026-08-08T03:36:39.423727+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T05:00:45.653000+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T06:07:21.890177+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T07:30:33.032120+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T08:47:01.461771+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T09:41:21.732225+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T10:37:38.574661+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T11:32:38.329446+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T12:55:23.216094+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T13:49:32.014816+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T14:35:32.481011+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T15:33:53.231106+00:00,230.0,213.03,16.97,-20.0,54,47,4
2026-08-08T16:37:58.269413+00:00,230.0,184.09,45.91,-20.0,54,47,7
2026-08-08T17:33:54.829920+00:00,230.0,184.09,45.91,-20.0,54,47,7
2026-08-08T18:42:13.883187+00:00,230.0,170.64,59.36,-20.0,54,47,8
2026-08-08T19:33:34.664695+00:00,228.82,170.64,58.18,-21.18,54,48,7
2026-08-08T20:34:16.522489+00:00,228.82,170.64,58.18,-21.18,54,48,7
2026-08-08T21:33:54.355181+00:00,228.82,168.16,60.66,-21.18,54,48,8
2026-08-08T22:33:33.164175+00:00,228.82,168.16,60.66,-21.18,54,48,8
2026-08-08T23:32:45.937601+00:00,228.82,168.16,60.66,-21.18,54,48,8
2026-08-09T02:00:18.822769+00:00,213.74,168.16,45.58,-36.26,54,51,5
2026-08-09T03:59:37.832302+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T05:14:00.466695+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T06:09:48.731577+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T07:34:11.187438+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T08:48:35.415556+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T09:43:32.984255+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T10:38:36.070421+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T11:32:57.563960+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T12:58:03.549350+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T13:54:13.056982+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T14:38:26.044695+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T15:35:38.160882+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T16:39:53.281258+00:00,210.55,168.16,42.39,-39.45,54,52,4
2026-08-09T17:34:58.582613+00:00,210.55,168.16,42.39,-39.45,54,52,4
